Date,Stock,riskFreeDaily,volaY1,volaY2,untilmaturity,Certificate,Sim1Y,Sim2Y,SimImplVola
2021-08-25,50.119999,-7.579758767682983e-4,0.3829713326497092,0.5416032526333168,1309,99.64,empty,empty,empty
2021-08-26,48.200001,-0.0016310071916935,0.3831855881138678,0.5419062556165425,1308,98.21,empty,empty,empty
2021-08-27,49.5,-0.002505962967038497,0.3831856596310857,0.541906356757162,1307,99.36,empty,empty,empty
2021-08-30,49.509998,-0.0028690701948078544,0.3841172427563753,0.5432238142474245,1306,98.58,empty,empty,empty
2021-08-31,46.759998,-0.003003660565681439,0.38501557289907246,0.5444942449187153,1305,97.67,empty,empty,empty
2021-09-01,49.41,-0.0033835700307989487,0.38505984735293747,0.5445568584518379,1304,100.44,empty,empty,empty
2021-09-02,50,-7.684748236329904e-4,0.38516558797335815,0.5447063982713305,1303,99.68,empty,empty,empty
2021-09-03,50.939999,-0.001464768538797428,0.3853606445112257,0.5449822498726123,1302,101.05,empty,empty,empty
2021-09-06,49.610001,-3.385701505037916e-4,0.385642576981286,0.545380962595445,1301,98.95,empty,empty,empty
2021-09-07,48.060001,-6.417655194791749e-4,0.3857637935408956,0.5455523886980291,1300,97.85,empty,empty,empty
2021-09-08,47.060001,-0.0019435308736995144,0.38626185156649745,0.546256749112684,1299,97.48,empty,empty,empty
2021-09-09,45.119999,-0.0016671930206720515,0.386313285493684,0.5463294876700773,1298,94.87,empty,empty,empty
2021-09-10,45.700001,-0.0029517047924400453,0.3870242467888534,0.5473349387760282,1297,95.64,empty,empty,empty
2021-09-13,43.459999,-0.0025029621460083773,0.3876717301120069,0.5482506184730424,1296,90.79,empty,empty,empty
2021-09-14,41.419998,-0.002095557895351544,0.3876727328836991,0.5482520366063693,1295,90.63,empty,empty,empty
2021-09-15,41.310001,-0.0040435815057560005,0.3877266140127433,0.5483282360298196,1294,90.02,empty,empty,empty
2021-09-16,40.720001,-0.004025320966304035,0.38772764494220197,0.5483296939842419,1293,89.52,empty,empty,empty
2021-09-17,40.610001,-0.0035139443946529633,0.3877974453273948,0.5484284066356405,1292,90.11,empty,empty,empty
2021-09-20,41.220001,-0.004033915776092031,0.3883270780099768,0.549177420358424,1291,89.85,empty,empty,empty
2021-09-21,43,-0.002570795162693533,0.388332747040626,0.5491854375784536,1290,90.46,empty,empty,empty
2021-09-22,42.779999,-0.002523341269804634,0.3884382426250786,0.549334630864757,1289,90.76,empty,empty,empty
2021-09-23,41.939999,-0.003694709153547916,0.38844269395951786,0.5493409260022917,1288,90.01,empty,empty,empty
2021-09-24,42.080002,-1.5819813897023277e-4,0.3887488935764905,0.5497739576534079,1287,89.91,empty,empty,empty
2021-09-27,40.700001,-1.602511298672197e-4,0.3892673994886222,0.5505072357465151,1286,87.82,empty,empty,empty
2021-09-28,42.439999,-1.4709093782501494e-4,0.3892738268441751,0.5505163253999082,1285,89.23,empty,empty,empty
2021-09-29,42.209999,-1.5862117432151153e-4,0.38936148332751486,0.5506402903874773,1284,88.54,empty,empty,empty
2021-09-30,41.450001,-1.6989241144106865e-4,0.3894707605964411,0.5507948317832517,1283,88.35,empty,empty,empty
2021-10-01,40.619999,-1.9043007460861473e-4,0.3894961877657519,0.5508307912309439,1282,86.85,empty,empty,empty
2021-10-04,40.209999,-1.5670701450624743e-4,0.3897269657200698,0.551157160543837,1281,86.06,empty,empty,empty
2021-10-05,41.34,-1.7618668159491023e-4,0.3897289456793546,0.5511599606291105,1280,87.4,empty,empty,empty
2021-10-06,41.200001,-1.5394674418003256e-4,0.38988860737300823,0.5513857563616669,1279,85.42,empty,empty,empty
2021-10-07,40.209999,-1.4754732433534747e-4,0.39002915740604965,0.5515845241245861,1278,84.29,empty,empty,empty
2021-10-08,39.299999,-1.4146711638911188e-4,0.3918185080374935,0.5541150480554149,1277,84.44,empty,empty,empty
2021-10-11,42.509998,-1.2071554913702546e-4,0.39453515316994536,0.5579569644458832,1276,84.75,empty,empty,empty
2021-10-12,38.52,-1.0602835730448108e-4,0.3945350119728068,0.5579567647629748,1275,82.24,empty,empty,empty
2021-10-13,38.5,-1.1192801709468852e-4,0.3948650641359732,0.5584235290084153,1274,82.73,empty,empty,empty
2021-10-14,39.810001,-1.4253859710739472e-4,0.39486518261736975,0.5584236965664132,1273,83.44,empty,empty,empty
2021-10-15,39.82,-1.4551790772355836e-4,0.39487232948095785,0.5584338037578279,1272,83.66,empty,empty,empty
2021-10-18,39.59,-1.2795917852966355e-4,0.39560132312614765,0.5594647564577391,1271,83.13,empty,empty,empty
2021-10-19,37.599998,-1.3101833489974346e-4,0.39575506149987055,0.5596821753509152,1270,81.48,empty,empty,empty
2021-10-20,38.459999,-1.2909771260401041e-4,0.39575772699413697,0.5596859449290572,1269,82.64,empty,empty,empty
2021-10-21,38.310001,-1.1696519804458249e-4,0.39608030114620074,0.5601421336697768,1268,81.45,empty,empty,empty
2021-10-22,39.599998,-1.2849046160309043e-4,0.39617019059103553,0.5602692565417763,1267,83.66,empty,empty,empty
2021-10-25,38.869999,-1.1809352376034608e-4,0.39624713479424606,0.5603780720775027,1266,82.05,empty,empty,empty
2021-10-26,39.490002,-1.2728282681940712e-4,0.39650270265845905,0.5607394996171794,1265,83.29,empty,empty,empty
2021-10-27,40.669998,-1.2797603385327492e-4,0.39686393203014564,0.5612503550937461,1264,83.73,empty,empty,empty
2021-10-28,39.209999,-1.782057461006016e-4,0.3969240693565304,0.5613354021163243,1263,82.38,empty,empty,empty
